sha,author,date,message,url
0231aafbc56914ee5371dd6c7b60677f168d7154,Hadley Wickham,2025-06-18T20:13:42Z,`use_air()` (#358),https://github.com/tidyverse/tidyverse/commit/0231aafbc56914ee5371dd6c7b60677f168d7154
8ec56d7134ca6d58450151bf42d3f8a9c1a2407b,Hadley Wickham,2025-06-18T17:52:11Z,"Bump requirements to R 4.1 (#357)

And use base pipe + lambda functions",https://github.com/tidyverse/tidyverse/commit/8ec56d7134ca6d58450151bf42d3f8a9c1a2407b
1c6afa4f6b943480b405f30b9557d4726d776efe,Michael Chirico,2025-06-18T17:26:17Z,Improve organization of .onAttach (#355),https://github.com/tidyverse/tidyverse/commit/1c6afa4f6b943480b405f30b9557d4726d776efe
c06a3c9938f55cc6f5cab90ae49df7ed7e8e9eb6,Michael Chirico,2024-10-21T21:59:39Z,"Use .lintr to enforce tidyverse style (#337)

Co-authored-by: Hadley Wickham <h.wickham@gmail.com>",https://github.com/tidyverse/tidyverse/commit/c06a3c9938f55cc6f5cab90ae49df7ed7e8e9eb6
b6bcbcd3432665ba943ec29e2ef188fdfda6b669,Hadley Wickham,2024-10-21T21:42:15Z,Drop modelr (#335),https://github.com/tidyverse/tidyverse/commit/b6bcbcd3432665ba943ec29e2ef188fdfda6b669
1810ed8c43922fc9c5602cbd5181240201a6852a,jasonO6359,2024-10-21T21:28:27Z,Update manifesto.Rmd - fix spelling typo (#342),https://github.com/tidyverse/tidyverse/commit/1810ed8c43922fc9c5602cbd5181240201a6852a
3e7f85c9f747acbe5ab172ac098d20d78cb9bb4f,Hadley Wickham,2024-10-21T21:26:52Z,"Upkeep 2024-10 (#348)

* Re-document
* Move package docs to standard location
* Re-render readme
* Update logo/favicons
* Recommend pak for installation difficulties
* Update license
* Require R 4.0.0
* `usethis::use_tidy_github_actions()`",https://github.com/tidyverse/tidyverse/commit/3e7f85c9f747acbe5ab172ac098d20d78cb9bb4f
62f32d43e1e0650e4c05632dbfbe06977d1f292f,Hadley Wickham,2023-11-02T14:22:07Z,Drop mockr dep,https://github.com/tidyverse/tidyverse/commit/62f32d43e1e0650e4c05632dbfbe06977d1f292f
7fc85f0747c31a75d4db5e21b4a757582e6fec72,Hadley Wickham,2023-11-02T14:19:41Z,"Upkeep 2023-11 (#334)

* Rebrand
* Update logo and favicons
* `usethis::use_tidy_coc()`
* Add alt-text. And remove logo that's automatically added by pkgdown
* Bump required R version
* `usethis::use_tidy_description()`
* `usethis::use_tidy_github_actions()`
* Bump dependencies",https://github.com/tidyverse/tidyverse/commit/7fc85f0747c31a75d4db5e21b4a757582e6fec72
4e70aa5756d8e8800139f02ddff9356142f23662,Zeki Akyol,2023-10-27T21:03:09Z,"Update r4ds url (#332)

- This pull request updates r4ds(https://r4ds.had.co.nz/) to r4ds 2e (https://r4ds.hadley.nz/).
- **README.md** is updated by running `devtools::build_readme()`.",https://github.com/tidyverse/tidyverse/commit/4e70aa5756d8e8800139f02ddff9356142f23662
